"id","condition","confidence","feedback","score_meaning","label_expectation","familiar_trust_levels","familiar_nutriscore","grade_basis","label_present","understood_label","visual_design","decision_support","info_usefulness","image_trust","evaluate_trustworthiness","more_labels","attention_check"
132,"c2pa","Somewhat Confident","Thanks for the engaging survey","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is;How much readers like the article","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Yes","","FALSE","5","6","6","6","6","6","6","3"
133,"nolabel","Very Unconfident","no, thank you!",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
134,"color","Very Confident","","How much of the picture is real/fake","The copyright holder or owner of the image","No","Yes","The accuracy of the information in the article","TRUE","6","6","7","7","7","6","7","3"
135,"c2pa","Very Confident","No","How trustworthy the article is;How much readers like the article","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is;The publisher","Yes","Yes","","TRUE","5","6","6","7","6","6","7","3"
136,"nolabel","Somewhat Confident","A few of the articles seemed AI generated or very poorly written. They also seemed like they copy/pasted from plain text pages as the phrase ""opens new tab"" kept appearing arbitrarily throughout the articles.",NA,NA,"No","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
137,"no_color","Somewhat Confident","none","How trustworthy the image is","How trustworthy the image is","Yes","Yes","The overall trustworthiness of the news provider","TRUE","4","4","4","4","6","4","5","3"
138,"c2pa","Very Confident","","How trustworthy the image is;How trustworthy the article is","The copyright holder or owner of the image","Yes","Yes","","TRUE","6","6","6","6","6","6","6","3"
139,"nolabel","Very Confident","No",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
140,"color","Very Confident","thank you for kindly allowing me to take this study!","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Other: Whether the information in the article is true or not","Yes","Yes","The accuracy of the information in the article","FALSE","7","7","7","7","5","3","7","3"
141,"no_color","Somewhat Confident","No","How much verified information about the creation and edits of the picture is available","Any changes that have been made to the original image","No","No","How clearly information about the image is provided","TRUE","4","3","4","3","5","4","4","3"
142,"c2pa","Very Confident","none","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the article is;How much readers like the article","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;The copyright holder or owner of the image;The publisher","Yes","Yes","","TRUE","4","6","5","5","5","5","5","3"
143,"nolabel","Somewhat Confident","No",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
144,"color","Somewhat Unconfident","no ","How trustworthy the image is","How trustworthy the image is","No","No","How clearly information about the image is provided","FALSE","1","3","2","2","2","2","3","3"
145,"no_color","Somewhat Confident","No comments, no suggestions.","How trustworthy the image is;How trustworthy the article is","How trustworthy the image is","Yes","No","How clearly information about the image is provided","FALSE","5","6","7","7","7","7","7","3"
146,"c2pa","Somewhat Unconfident","","Not sure","Whether AI was used in the image creation process","No","No","","TRUE","1","1","1","1","1","1","4","3"
147,"nolabel","Somewhat Confident","N/A",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
148,"no_color","Somewhat Confident","","How trustworthy the article is","How trustworthy the image is","Yes","Yes","The overall trustworthiness of the news provider","TRUE","5","4","6","6","6","6","6","3"
149,"c2pa","Somewhat Unconfident","study went well","Not sure","How trustworthy the image is","No","No","","TRUE","2","4","5","4","4","4","4","3"
150,"nolabel","Somewhat Confident","",NA,NA,"Yes","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
151,"color","Somewhat Confident","","How trustworthy the article is;How much readers like the article","The publisher","Yes","Yes","The accuracy of the information in the article","FALSE","4","5","4","5","4","4","4","3"
152,"no_color","Somewhat Confident","no","How much readers like the article","How trustworthy the image is","Yes","Yes","How clearly information about the image is provided","FALSE","6","5","6","6","5","6","5","3"
153,"c2pa","Neutral","None at all","How much of the picture is real/fake","Any changes that have been made to the original image;The copyright holder or owner of the image","Yes","No","","FALSE","3","3","3","3","3","3","4","3"
154,"nolabel","Neutral","",NA,NA,"No","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
155,"color","Neutral","","How much verified information about the creation and edits of the picture is available","Where the image was taken","Yes","Not sure","The accuracy of the information in the article","TRUE","5","6","7","6","5","6","7","3"
156,"no_color","Very Confident","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Yes","The accuracy of the information in the article","TRUE","3","5","6","5","6","5","5","3"
157,"c2pa","Very Confident","The study was insightful. I appreciated the focus on media trust and image authenticity. It would be helpful to include a short pop-up or hover explanation of what labels like C2PA mean, especially for first-time users. Overall, a great initiative to improve media literacy.","How much verified information about the creation and edits of the picture is available;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;The copyright holder or owner of the image;The publisher","Yes","No","","FALSE","4","5","4","6","6","6","7","3"
158,"nolabel","Very Confident","",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
159,"color","Very Confident","Was a nice study.","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is;How trustworthy the article is","Where the image was taken;When the image was taken;The publisher","Yes","Yes","The accuracy of the information in the article","TRUE","6","6","6","3","6","6","7","3"
160,"no_color","Very Confident","No i have no comment","How much verified information about the creation and edits of the picture is available;How trustworthy the article is;How much readers like the article","Whether AI was used in the image creation process;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Yes","The accuracy of the information in the article","FALSE","5","5","5","5","6","5","5","3"
161,"c2pa","Very Confident","","How much verified information about the creation and edits of the picture is available","How trustworthy the image is","No","Yes","","TRUE","5","5","5","5","5","5","5","3"
162,"nolabel","Neutral","It worked really well and went smoothly, I enjoyed it.",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
163,"color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","No","The overall trustworthiness of the news provider","TRUE","5","3","3","5","4","5","5","3"
164,"no_color","Somewhat Confident","Great study. I look forward to more like it in the future!","How much of the picture is real/fake;How trustworthy the image is","Where the image was taken;When the image was taken;Any changes that have been made to the original image","Not sure","No","How clearly information about the image is provided","FALSE","5","6","5","5","4","4","6","3"
165,"c2pa","Neutral","n/a","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Any changes that have been made to the original image;How trustworthy the image is","No","No","","TRUE","2","4","3","3","4","3","3","3"
166,"nolabel","Somewhat Confident","",NA,NA,"Yes","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
167,"color","Somewhat Confident","","How trustworthy the article is","Any changes that have been made to the original image;How trustworthy the image is","Not sure","Not sure","The accuracy of the information in the article","FALSE","5","5","1","1","1","1","1","3"
168,"c2pa","Somewhat Confident","NO","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;The copyright holder or owner of the image;The publisher","Yes","Not sure","","FALSE","3","6","4","5","5","5","6","3"
169,"nolabel","Neutral","Not Really.",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
170,"color","Somewhat Confident","","How trustworthy the article is","How trustworthy the image is","Yes","Yes","The overall trustworthiness of the news provider","TRUE","4","5","5","6","5","5","6","3"
171,"no_color","Very Confident","I found it confusing that I was to read an article, but then answer questions about another article I chose to read?  Why read the article then?","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","No","No","How clearly information about the image is provided","FALSE","7","5","2","6","6","6","7","3"
172,"c2pa","Somewhat Confident","N/A","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Not sure","","FALSE","6","5","6","5","5","6","5","3"
173,"nolabel","Very Confident","thank you",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
174,"color","Very Unconfident","no i don't have any comment.","How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","No","No","How transparently the article shows its sources, author, and any edits","TRUE","1","2","1","3","1","1","1","3"
175,"no_color","Neutral","","How trustworthy the image is","How trustworthy the image is","No","No","The overall trustworthiness of the news provider","FALSE","4","2","2","2","2","2","3","3"
176,"c2pa","Very Confident","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","Where the image was taken;The copyright holder or owner of the image;The publisher","Yes","Yes","","TRUE","4","5","7","6","6","5","6","3"
177,"nolabel","Somewhat Confident","",NA,NA,"No","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
178,"color","Very Confident","null","How trustworthy the image is","Any changes that have been made to the original image","Yes","Yes","The accuracy of the information in the article","TRUE","6","6","6","6","6","6","6","3"
179,"no_color","Somewhat Confident","Silly idea. Sounds a lot like lipstick on a pig.","Not sure","Not sure","No","No","Not sure","TRUE","1","4","2","4","2","2","4","3"
180,"c2pa","Somewhat Confident","no","How trustworthy the image is;How trustworthy the article is","How trustworthy the image is;The copyright holder or owner of the image;The publisher","Not sure","Yes","","TRUE","6","3","6","2","5","5","3","3"
181,"nolabel","Very Confident","NONE",NA,NA,"Yes","Yes",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
182,"color","Somewhat Confident","no","How much verified information about the creation and edits of the picture is available;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;Any changes that have been made to the original image","No","No","How clearly information about the image is provided","FALSE","6","7","5","6","6","7","5","3"
183,"no_color","Somewhat Confident","I thought that the study was clearly worded and enjoyable.","How trustworthy the image is","How trustworthy the image is","No","No","Other: The level of trustworthiness of the image itself.","FALSE","6","7","6","6","6","6","7","3"
184,"c2pa","Very Confident","No comment","How much verified information about the creation and edits of the picture is available","How trustworthy the image is","Not sure","Not sure","","TRUE","5","7","7","7","7","7","7","3"
185,"color","Very Unconfident","This was an interesting study. The image trust labels are a good concept, especially with the rise of AI generated content.","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","Yes","Yes","How transparently the article shows its sources, author, and any edits","TRUE","6","5","6","6","6","7","7","3"
186,"no_color","Somewhat Confident","","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake","Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Yes","How clearly information about the image is provided","FALSE","3","5","4","6","5","7","7","3"
187,"nolabel","Neutral","N/A",NA,NA,"No","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
188,"color","Somewhat Confident","","How trustworthy the article is","Whether AI was used in the image creation process","Not sure","Yes","How transparently the article shows its sources, author, and any edits","FALSE","3","3","4","4","4","5","5","3"
189,"no_color","Somewhat Confident","","Not sure","How trustworthy the image is;The copyright holder or owner of the image;The publisher","Yes","Yes","The accuracy of the information in the article","TRUE","2","3","4","5","6","5","3","3"
190,"c2pa","Very Confident","no","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;Where the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The publisher","No","Not sure","","TRUE","6","4","5","7","5","3","5","3"
191,"nolabel","Neutral","",NA,NA,"Yes","Not sure",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
192,"color","Somewhat Unconfident","",NA,NA,"No","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
193,"no_color","Neutral","","How much verified information about the creation and edits of the picture is available;How trustworthy the image is;How trustworthy the article is","Whether AI was used in the image creation process;How trustworthy the image is","No","Not sure","The accuracy of the information in the article","FALSE","5","5","4","5","5","5","5","3"
194,"c2pa","Somewhat Confident","","How much verified information about the creation and edits of the picture is available","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;The copyright holder or owner of the image;The publisher","No","Yes","","FALSE","4","5","2","4","3","3","5","3"
195,"nolabel","Somewhat Confident","",NA,NA,"Yes","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
196,"color","Somewhat Confident","","How trustworthy the image is","Where the image was taken;When the image was taken;How trustworthy the image is;The copyright holder or owner of the image","Yes","Yes","The accuracy of the information in the article","FALSE","5","6","5","6","5","6","5","3"
197,"no_color","Neutral","","How trustworthy the image is","Whether AI was used in the image creation process;Where the image was taken;When the image was taken;Any changes that have been made to the original image;How trustworthy the image is;The copyright holder or owner of the image","No","Not sure","How transparently the article shows its sources, author, and any edits","TRUE","4","5","4","5","5","5","6","3"
198,"c2pa","Neutral","I didn't notice any of those labels at all through the study.","How trustworthy the article is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","Yes","Yes","","TRUE","3","3","2","2","2","2","5","3"
199,"nolabel","Somewhat Confident","No thanks.",NA,NA,"Yes","No",NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,NA
200,"color","Somewhat Confident","Nil","How trustworthy the image is;How trustworthy the article is","How trustworthy the image is","Yes","Yes","How clearly information about the image is provided","FALSE","3","5","5","5","5","4","5","3"
201,"no_color","Somewhat Confident","No comments","How much verified information about the creation and edits of the picture is available;How much of the picture is real/fake;How trustworthy the image is","Whether AI was used in the image creation process;Any changes that have been made to the original image;How trustworthy the image is","Not sure","Yes","How clearly information about the image is provided","TRUE","6","5","4","5","5","5","4","3"
202,"c2pa","Somewhat Unconfident","","Not sure","Where the image was taken;When the image was taken;Any changes that have been made to the original image;The copyright holder or owner of the image","No","Yes","","TRUE","2","3","1","1","1","1","5","3"
